,ADULTO,NU_IDADE,NOTA_TOTAL,TP_COR_RACA_DESC,TP_LINGUA_DESC,Q024_DESC,Q025_DESC
73940,Adulto,19.0,2871.3,Branca,Espanhol,"Sim, um",Sim
449046,Jovem,17.0,2275.9,Preta,Inglês,Não,Não
462926,Jovem,17.0,2352.6,Preta,Inglês,Não,Não
1045185,Jovem,18.0,3156.5,Parda,Inglês,Não,Não
1238010,Adulto,19.0,2407.8,Parda,Inglês,Não,Não
500087,Jovem,18.0,2404.8,Parda,Espanhol,Não,Não
1122090,Jovem,17.0,2706.1,Branca,Espanhol,Não,Sim
118178,Adulto,19.0,2473.2,Parda,Inglês,"Sim, um",Sim
242997,Jovem,18.0,2528.6000000000004,Parda,Inglês,Não,Sim
979176,Jovem,17.0,2870.7,Branca,Inglês,"Sim, um",Sim
194197,Jovem,18.0,2644.3999999999996,Parda,Espanhol,Não,Sim
948611,Jovem,17.0,2156.5,Parda,Espanhol,Não,Sim
406798,Jovem,17.0,2130.3,Branca,Espanhol,"Sim, um",Sim
354056,Adulto,22.0,1949.7,Parda,Espanhol,"Sim, um",Sim
110021,Jovem,18.0,2583.1000000000004,Branca,Espanhol,"Sim, um",Sim
1162007,Jovem,18.0,2452.9,Não declarado,Inglês,"Sim, um",Sim
431074,Adulto,20.0,2391.0,Parda,Espanhol,Não,Sim
1132104,Jovem,17.0,1859.5000000000002,Branca,Inglês,"Sim, um",Sim
617363,Jovem,17.0,2958.2,Branca,Inglês,"Sim, um",Sim
1054047,Jovem,17.0,2216.9,Parda,Espanhol,Não,Não
238281,Jovem,18.0,2604.7000000000003,Branca,Inglês,Não,Sim
1053526,Jovem,17.0,2295.9,Preta,Inglês,"Sim, um",Sim
766675,Jovem,17.0,,Branca,Espanhol,Não,Sim
633771,Jovem,17.0,2629.3,Amarela,Inglês,"Sim, um",Sim
253946,Jovem,18.0,2379.2,Parda,Espanhol,Não,Não
374688,Jovem,18.0,2355.2,Branca,Espanhol,Não,Não
224029,Jovem,17.0,2083.2,Parda,Inglês,Não,Não
712104,Jovem,18.0,2684.4,Parda,Inglês,Não,Sim
572033,Adulto,20.0,1741.6,Preta,Espanhol,Não,Não
894315,Jovem,17.0,2985.0,Parda,Espanhol,"Sim, um",Sim
306951,Jovem,18.0,2373.6,Parda,Inglês,Não,Sim
156806,Jovem,18.0,2897.1,Branca,Inglês,"Sim, um",Sim
847186,Jovem,18.0,2168.7,Parda,Espanhol,Não,Não
417277,Jovem,18.0,,Parda,Espanhol,Não,Não
814544,Jovem,18.0,2704.1,Preta,Inglês,"Sim, dois",Sim
1209404,Jovem,18.0,,Parda,Inglês,Não,Sim
1216062,Adulto,19.0,2543.8,Parda,Inglês,"Sim, um",Sim
227642,Jovem,16.0,2648.1,Parda,Inglês,Não,Sim
243774,Jovem,18.0,,Preta,Inglês,Não,Sim
742313,Jovem,17.0,2691.4,Branca,Inglês,"Sim, um",Sim
288791,Jovem,17.0,3079.8,Parda,Inglês,"Sim, um",Sim
279362,Adulto,19.0,2576.1,Branca,Inglês,"Sim, dois",Sim
773796,Jovem,17.0,2222.9,Branca,Espanhol,Não,Sim
597472,Adulto,24.0,2027.0,Parda,Espanhol,Não,Não
577233,Jovem,18.0,2807.3,Parda,Espanhol,Não,Não
128171,Adulto,21.0,,Parda,Inglês,"Sim, um",Sim
814407,Jovem,18.0,2598.6,Parda,Espanhol,Não,Sim
896778,Adulto,19.0,2299.6,Parda,Espanhol,Não,Sim
1036364,Jovem,17.0,2587.2,Branca,Inglês,"Sim, dois",Sim
622734,Jovem,17.0,2874.6000000000004,Parda,Espanhol,"Sim, um",Sim
447166,Jovem,18.0,2466.1,Parda,Espanhol,Não,Sim
750612,Jovem,17.0,2502.3,Amarela,Espanhol,Não,Sim
533466,Jovem,18.0,2889.8,Parda,Inglês,"Sim, um",Sim
962972,Jovem,17.0,,Parda,Inglês,Não,Não
1238925,Adulto,19.0,2421.2,Branca,Inglês,"Sim, um",Sim
62570,Jovem,18.0,2410.2000000000003,Parda,Espanhol,Não,Sim
874067,Jovem,18.0,3062.4,Preta,Inglês,"Sim, um",Sim
